"McLean 1990, Spec. Con3"	
-4.3688	-25.484
-5.334	-26.004
-6.2992	-26.489
-7.239	-26.992
-8.2296	-27.499
-9.2456	-27.966
-10.211	-28.38
-11.227	-28.833
-12.167	-29.163
-13.106	-29.598
-14.097	-30.025
-15.037	-30.377
-15.951	-30.799
-16.993	-31.218
-17.78	-31.324
-18.771	-31.88
-19.787	-32.241
-20.777	-32.637
-21.793	-33.024
-22.657	-33.233
-23.571	-33.611
-24.613	-34.024
-25.476	-33.993
-26.34	-34.656
-27.457	-34.981
-28.397	-35.346
-29.388	-35.728
-30.328	-35.951
-31.191	-36.226
-32.131	-36.667
-33.198	-37.014
-33.934	-36.907
-35.001	-37.463
-36.043	-37.601
