"Kowalsky et al.1996,specimen nr.FL2"	
97.657	-2.2005
87.127	-12.286
76.747	-21.966
66.227	-30.386
55.547	-38.326
44.837	-46.166
34.277	-53.436
23.807	-60.776
12.997	-67.736
2.471	-74.566
-7.92	-81.486
-18.443	-88.436
-29.023	-95.656
-39.593	-102.556
-50.023	-109.456
-60.543	-116.056
-71.213	-122.756
-81.763	-129.356
-92.433	-135.556
-103.243	-141.656
-113.943	-147.756
-124.443	-153.556
-135.043	-158.656
-145.643	-163.256
-156.343	-166.856
-166.943	-169.556
-177.343	-171.056
-187.743	-171.656
-197.943	-171.456
-208.043	-170.756
-210.443	-170.256
-210.443	-160.356
-206.643	-150.056
-200.343	-139.556
-193.943	-129.356
-187.243	-118.756
-180.243	-108.256
-173.243	-97.796
-166.043	-87.306
-158.843	-76.916
-151.443	-66.546
-143.843	-56.086
-135.843	-45.546
-127.843	-35.236
-119.043	-24.786
-110.043	-14.436
-100.243	-3.987
-89.893	6.266
-79.383	16.104
-68.833	25.034
-58.233	33.184
-47.833	39.944
-37.323	46.704
-26.753	53.254
-16.173	59.694
-5.753	65.814
4.724	71.674
15.087	77.564
25.317	83.484
35.647	89.804
46.057	95.724
56.367	101.644
66.657	107.144
77.117	112.144
87.467	117.044
97.877	121.944
108.457	126.444
118.857	131.244
129.357	134.944
139.757	138.544
150.157	141.144
160.357	144.144
170.757	146.544
181.057	147.944
191.257	148.444
201.557	147.544
204.657	137.144
209.857	128.044
209.957	126.744
207.857	116.844
205.057	106.744
198.557	96.454
191.357	86.104
184.257	75.794
176.957	65.474
169.357	54.904
161.257	44.234
153.057	33.634
144.357	22.704
134.857	11.924
125.357	1.402
114.657	-8.807
104.257	-18.756
93.827	-27.566
83.427	-35.526
72.757	-43.056
62.287	-50.176
51.627	-56.996
40.897	-63.606
30.237	-69.866
19.597	-75.696
9.053	-80.876
-1.329	-85.806
-11.843	-90.486
-22.123	-95.286
-32.523	-99.676
-43.003	-104.256
-53.423	-108.456
-64.003	-113.056
-74.353	-117.356
-84.653	-122.156
-95.083	-126.756
-105.443	-131.956
-115.743	-136.056
-126.143	-140.156
-136.543	-143.956
-146.743	-147.756
-157.043	-151.056
-167.243	-154.156
-177.643	-157.056
-187.843	-159.356
-197.943	-161.156
-208.043	-160.856
-210.243	-160.956
-208.643	-150.956
-202.343	-140.456
-195.543	-129.456
-188.543	-118.456
-181.243	-107.656
-174.143	-97.206
-166.943	-86.736
-159.643	-76.356
-152.243	-65.836
-144.443	-55.216
-136.443	-44.556
-128.143	-34.056
-119.243	-23.226
-109.643	-12.486
-99.043	-2.0855
-88.623	7.806
-78.023	16.704
-67.533	24.514
-56.953	31.124
-46.413	36.884
-36.063	42.064
-25.723	47.114
-15.273	51.874
-4.939	56.264
5.586	60.604
15.997	64.384
26.377	68.554
36.707	72.354
47.047	76.014
57.557	79.824
68.037	82.894
78.347	86.104
88.767	89.174
99.137	92.134
109.557	95.074
119.757	97.594
130.057	99.744
140.357	101.344
148.257	91.344
158.357	89.034
168.557	85.174
176.157	74.414
179.257	64.004
189.457	59.254
197.557	52.294
198.457	42.284
190.757	32.154
182.157	22.024
172.557	12.004
162.857	1.855
152.757	-7.878
142.657	-17.146
132.457	-25.976
122.357	-33.656
112.157	-40.486
102.157	-46.476
92.047	-52.036
81.897	-57.166
71.767	-61.966
61.637	-65.386
51.577	-68.846
41.447	-72.586
31.367	-75.666
21.157	-78.486
10.982	-79.076
0.8236	-77.606
