"Wong et al. 1990, Spec. 1"	
-32.268	-308.45
-33.531	-301.31
-34.453	-294.17
-36.723	-281.31
-37.648	-271.32
-38.235	-247.05
-37.899	-228.48
-36.807	-195.64
-35.715	-159.94
-34.874	-132.81
-33.614	-102.82
-32.268	-71.398
-30.589	-39.984
-28.489	-9.996
-25.966	18.564
-23.193	39.984
-19.496	61.403
-15.714	69.971
-12.185	91.393
-9.1597	104.24
-6.7226	121.38
-3.4453	137.09
-0.16807	159.94
2.7732	181.35
4.7059	194.21
7.3109	211.34
10.756	229.91
14.286	244.19
17.647	259.9
20.84	271.32
24.874	287.03
28.908	297.03
32.352	304.16
35.293	309.88
38.489	307.02
40.168	295.6
40	264.18
38.908	227.05
37.732	172.79
35.631	121.38
33.866	79.97
32.017	45.697
30.335	19.992
28.151	-8.5682
26.05	-31.416
23.445	-45.697
20.756	-59.975
18.067	-67.115
14.538	-79.97
