"Sritharan 1996_Specimen_No._IC2"	
39.9178	109.02
39.7578	106.84
39.5078	104.53
39.3378	102.38
39.1578	100.29
38.8978	97.9
38.7178	95.72
38.5278	93.39
38.3178	91.12
38.1178	88.95
37.8778	86.39
37.6778	84.2
37.4678	81.96
37.2478	79.88
37.0378	77.7
36.7978	75.1
36.5778	72.92
36.3178	70.47
36.0878	67.93
35.8378	65.36
35.6378	63.2
35.3778	60.76
35.1378	58.49
34.8978	56.33
34.6878	54.31
34.4678	52.18
34.2578	50.27
34.0178	48.2
33.7878	46.01
33.5878	43.94
33.3278	41.61
33.1078	39.53
32.8178	36.91
32.5378	34.47
32.2778	32.33
31.9878	30.2
31.6878	27.9
31.4478	25.69
31.1578	23.381
30.8378	21.084
30.5478	18.786
30.2978	16.794
30.0478	14.7107
29.7578	12.704
29.4778	10.682
29.2178	8.659
28.8578	6.055
28.4778	3.82
28.1778	1.92
27.8178	-0.58
27.3978	-2.6
26.8378	-4.62
26.3578	-6.98
25.9978	-9.39
25.5778	-11.87
25.2078	-13.95
24.7478	-16.42
24.3278	-18.46
23.8478	-20.97
23.4278	-22.99
22.9178	-25.33
22.4478	-27.37
21.8078	-29.95
21.2278	-31.98
20.6478	-34.04
20.0278	-36.17
19.5678	-38.29
19.0278	-41.05
18.6778	-43.03
18.1578	-45.37
17.7678	-47.78
17.4078	-49.63
16.9078	-52.2
16.3378	-54.7
15.8478	-56.91
15.3378	-58.99
14.8378	-61.15
14.2678	-63.63
13.8178	-66.04
13.3878	-68.35
12.8378	-70.83
12.3978	-72.89
11.9578	-74.89
11.4068	-77.39
10.9168	-79.98
10.4258	-82
9.8738	-84.35
9.3548	-86.84
8.7308	-89.24
8.2158	-91.44
7.6208	-94.14
7.2348	-96.54
6.6588	-98.94
6.0348	-101.34
5.5108	-103.54
4.9678	-106.04
4.3158	-108.14
3.7538	-112.54
3.1058	-115.84
2.206	-118.24
1.4678	-120.34
0.9344	-122.64
0.3628	-125.14
-0.2992	-127.44
-0.9282	-129.94
-1.6472	-132.14
-2.0752	-134.54
-2.4712	-136.54
-3.1182	-139.34
-3.7992	-141.34
-4.1572	-143.54
-4.8332	-146.14
-5.5232	-148.34
-6.0332	-150.94
-6.7382	-153.34
-7.4002	-155.74
-8.0862	-157.94
-8.7022	-160.24
-9.5422	-162.34
-9.9422	-164.64
-10.5822	-166.74
-10.9922	-169.34
-11.4422	-171.54
-11.9822	-173.94
-12.6722	-176.24
-13.3922	-178.34
-14.1622	-181.04
-14.5122	-183.04
-15.0522	-185.54
-15.5322	-187.74
-16.2022	-190.24
-16.9022	-192.64
-17.4522	-194.94
-18.0822	-197.54
-18.9222	-199.84
-19.3822	-202.04
-19.6022	-204.14
-20.0722	-206.64
-20.6122	-209.24
-21.2522	-211.74
-21.6222	-213.74
-22.1622	-216.04
