"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
-3.3205	-347.3
-4.00675	-396.9
-4.6915	-447.8
-5.37425	-498.1
-6.1235	-547.7
-7.016	-598.5
-8.12975	-649.2
-9.03725	-685.3
-9.28225	-634.9
-9.20975	-583.9
-8.70975	-533.4
-8.17975	-483
-7.59725	-432.3
-6.94425	-380.9
-6.28225	-330.7
-5.6255	-280.3
-4.924	-229.2
-4.232	-178.5
-3.5125	-127.6
-2.79005	-76.88
-2.105325	-25.92
-1.40575	24.82
-0.707325	75.27
0.047	126.4
0.824	178.7
1.62975	229.9
2.4385	281
3.2445	331.2
4.08525	381.9
4.91025	432
5.71775	482.8
6.53525	533.4
7.38525	583.4
8.20775	630.3
8.36525	577.2
7.87275	527
7.25275	476.2
6.63275	425.7
5.97775	374.6
5.31525	323.8
4.62525	273.5
3.897	222.4
3.15125	172.4
2.42475	121.6
1.69925	70.73
0.9935	20.6
0.2755	-30.64
-0.398725	-81.14
-1.10605	-131.2
-1.863275	-182.2
-2.598025	-232.3
-3.38225	-283.5
-4.1745	-333.8
-4.98	-384.5
-5.7765	-434.6
-6.58375	-485.8
-7.38975	-536.6
-8.19475	-586.5
-9.00475	-636.7
-9.07725	-584.3
-8.54225	-535.1
-7.95725	-483
-7.3685	-433.1
-6.751	-383.2
-6.05575	-331.4
-5.3655	-280.8
-4.66425	-230.7
-3.94025	-178.4
-3.21475	-127.7
-2.505825	-76.74
-1.81975	-26.33
-1.12305	23.9
-0.43225	74.54
0.3115	126.1
1.06875	176.5
1.861	227.4
2.6665	278.6
3.49175	329.5
4.32775	380.5
5.14275	430.6
5.94275	480.6
6.75525	531.1
7.57275	581.5
8.20525	618.7
8.32525	568.4
7.94025	516.5
7.35275	466.5
6.71275	415
6.03525	364.7
5.38525	314
4.67275	263.3
3.9575	213.1
3.1875	162.2
2.42175	111.7
1.69925	61.51
0.98425	11.28
0.277	-39.13
-0.4365	-89.68
-1.1725	-140.9
-1.9419	-191.1
-2.679425	-241.3
-3.50025	-292.3
-4.312	-342.1
-5.1145	-392.7
-5.924	-443.2
-6.7135	-492.7
-7.50475	-543.6
-8.32225	-593.9
-9.03975	-638.9
-9.12225	-588.5
-8.75225	-537.6
-8.17475	-486.3
-7.61975	-436.2
-6.99425	-386.1
-6.272	-335.1
-5.5985	-284.4
-4.87	-233.6
-4.14125	-182.8
-3.40825	-131.7
-2.660025	-81.65
-1.943775	-30.82
-1.218125	19.45
-0.49865	70.04
0.236	119.9
1.00525	170.3
1.83975	222
2.6545	272.3
3.63725	332.1
4.49775	383.1
5.32025	432.8
6.14525	483.8
6.96025	534.7
7.78275	585
8.61275	635.3
9.58025	686
10.79525	736.2
12.07275	777.9
12.51525	790.3
12.76275	740.2
12.60275	683.1
12.19775	634.6
11.54525	583.7
10.87025	532.7
10.15025	482
