Kowalsky & Moyer 2001 No.1	
-5.386	-55.26074526
-5.406	-55.32190823
-5.427	-55.32190823
-5.427	-55.32190823
-5.406	-55.32190823
-5.427	-55.29132674
-5.447	-55.3830712
-5.406	-55.35248972
-5.427	-55.32190823
-5.427	-55.35248972
-5.406	-55.29132674
-5.427	-55.26074526
-5.427	-55.23016377
-5.406	-55.41365269
-5.427	-55.29132674
-5.386	-55.29132674
-5.386	-55.32190823
-5.386	-55.3830712
-5.366	-55.29132674
-5.427	-55.35248972
-5.427	-55.32190823
-5.406	-55.26074526
-5.427	-55.32190823
-5.386	-55.35248972
-5.427	-55.3830712
-5.427	-55.35248972
-5.427	-55.32190823
-5.427	-55.35248972
-5.427	-55.41365269
-5.386	-55.35248972
-5.406	-55.32190823
-5.386	-55.41365269
-5.386	-55.32190823
-5.406	-55.23016377
-5.406	-55.26074526
-5.406	-55.35248972
-5.447	-55.32190823
-5.406	-55.32190823
-5.406	-55.29132674
-5.447	-55.32190823
-5.406	-55.26074526
-5.427	-55.29132674
-5.427	-55.35248972
-5.427	-55.29132674
-5.386	-55.29132674
-5.406	-55.32190823
-5.406	-55.32190823
-5.427	-55.3830712
-5.406	-55.23016377
-5.427	-55.3830712
-5.386	-55.3830712
-5.447	-55.3830712
-5.427	-55.23016377
-5.427	-55.29132674
-5.427	-55.29132674
-5.386	-55.32190823
-5.406	-55.32190823
-5.406	-55.23016377
-5.406	-55.29132674
-5.427	-55.32190823
-5.427	-55.35248972
-5.406	-55.3830712
-5.427	-55.44423417
-5.406	-55.32190823
-5.427	-55.32190823
-5.406	-55.32190823
-5.427	-55.44423417
-5.447	-55.32190823
-5.427	-55.44423417
-5.427	-55.32190823
-5.406	-55.35248972
-5.427	-55.29132674
-5.427	-55.3830712
-5.427	-55.44423417
-5.427	-55.35248972
-5.386	-55.41365269
-5.427	-55.35248972
-5.406	-55.32190823
-5.406	-55.3830712
-5.386	-55.35248972
-5.406	-55.35248972
-5.427	-55.3830712
-5.427	-55.3830712
-5.427	-55.32190823
-5.406	-55.26074526
-5.427	-55.32190823
-5.427	-55.3830712
-5.427	-55.3830712
-5.427	-55.3830712
-5.427	-55.26074526
-5.427	-55.32190823
-5.427	-55.32190823
-5.386	-55.29132674
-5.406	-55.3830712
-5.386	-55.3830712
-5.406	-55.35248972
-5.406	-55.44423417
-5.346	-55.41365269
-5.386	-55.35248972
-5.386	-55.3830712
-5.406	-55.35248972
-5.366	-55.3830712
-5.406	-55.3830712
-5.427	-55.44423417
-5.427	-55.41365269
-5.406	-55.32190823
-5.427	-55.35248972
-5.427	-54.98551188
-5.406	-51.83561882
-5.427	-48.65514428
-5.427	-45.59699567
-5.427	-42.50826558
-5.427	-39.45011698
-5.406	-36.36138689
-5.406	-33.18091234
-5.325	-30.03101928
-5.143	-27.06461514
-4.86	-24.00646653
-4.637	-20.7954105
-3.948	-18.10423973
-3.382	-14.46504289
-2.875	-11.49863875
-2.187	-8.960375407
-1.822	-5.198852625
-1.114	-2.201866994
-0.506	0.581048235
-0.04	4.128500614
0.709	7.125486245
1.114	10.15305336
1.924	13.15003899
2.673	16.29993205
3.28	19.4804066
3.888	22.66088115
4.556	25.78019272
5.285	28.86892281
6.014	31.9576529
6.561	34.77114962
7.168	38.34918348
7.593	41.46849506
8.282	44.37373623
9.071	47.24839592
9.557	50.76526681
10.226	53.79283393
11.015	56.88156402
11.906	59.57273479
12.858	62.99786122
13.729	66.02542834
14.68	69.08357694
15.591	72.11114406
16.523	75.23045564
17.556	78.25802275
18.224	79.97058597
18.305	80.06233043
18.345	80.06233043
18.305	80.00116746
18.345	80.09291192
18.345	80.1234934
18.386	80.03174894
18.386	80.09291192
18.386	80.06233043
18.386	80.06233043
18.386	80.03174894
18.406	80.03174894
18.426	79.97058597
18.406	80.03174894
18.467	80.03174894
18.467	80.03174894
18.447	80.18465637
18.467	79.97058597
18.467	79.909423
18.467	80.03174894
18.467	80.09291192
18.447	80.03174894
18.447	80.00116746
18.426	79.97058597
18.447	80.09291192
18.487	80.06233043
18.467	80.03174894
18.467	80.03174894
18.467	79.97058597
