"Munro 1976, Spec. 1"	
-52.225	39.918
-50.33	42.29
-47.592	44.66
-44.643	48.219
-42.537	50.194
-40.221	52.565
-36.853	56.123
-33.904	58.89
-31.377	60.865
-28.849	63.632
-25.692	65.607
-23.375	67.19
-20.848	69.561
-18.11	71.536
-15.373	73.115
-12.846	74.303
-9.6868	75.491
-6.5281	77.07
-4.2116	78.649
-2.3164	79.837
-1.2635	80.233
-0.21058	80.628
1.6847	81.02
4.2116	82.603
6.9492	83.395
9.6868	84.183
12.846	85.766
16.004	86.162
19.795	86.949
22.532	87.741
26.533	89.32
29.693	90.508
32.431	91.3
34.955	91.691
37.483	92.483
41.064	93.671
44.221	94.458
48.644	95.25
51.803	96.437
54.752	96.833
56.858	97.225
59.804	98.017
62.964	99.204
65.07	99.992
68.859	101.18
72.862	102.76
75.179	103.55
78.758	104.74
81.285	105.53
84.653	105.53
88.445	106.71
91.813	108.29
95.184	109.08
99.606	110.27
102.97	111.85
106.34	113.83
109.5	115.41
112.45	116.99
116.03	118.57
119.19	119.76
121.51	122.52
124.03	124.1
127.19	126.08
129.93	126.87
132.46	128.45
135.62	129.24
138.98	130.43
142.35	130.82
145.09	132.01
148.46	132.4
150.14	132.8
150.78	132.4
151.41	132.8
151.62	130.82
151.41	128.45
151.2	125.68
150.36	120.94
149.93	116.99
149.51	113.03
148.88	108.69
148.04	104.34
147.2	100.78
146.57	97.225
145.51	93.671
144.04	89.32
143.2	83.395
142.14	78.258
140.88	74.303
140.04	70.745
139.19	65.607
137.93	61.657
136.88	58.098
135.4	52.961
134.14	49.011
132.46	44.66
131.19	40.313
130.14	35.571
128.88	32.013
127.4	27.666
125.3	23.318
123.19	18.576
121.72	15.414
120.45	12.252
118.77	7.9045
117.51	4.7427
115.82	2.7666
114.35	0
