BRI No. 2 (Japan) spbaa1	
0.30093	-15.92
0.020061	-20.231
-0.40123	-27.196
-0.82252	-32.835
-1.284	-39.136
-1.625	-44.443
-2.0462	-51.408
-2.4275	-60.362
-2.8889	-68.987
-3.2098	-76.616
-3.4305	-82.252
-3.7515	-89.552
-4.1126	-96.513
-4.4336	-102.48
-4.5941	-105.14
-4.8147	-106.46
-4.7746	-100.83
-4.5941	-92.866
-4.3332	-82.586
-3.9722	-70.647
-3.6311	-58.04
-3.1897	-44.443
-2.7685	-34.493
-2.287	-25.538
-1.645	-14.261
-1.1435	-6.3018
-0.62191	2.3217
-0.22068	10.613
0.14042	17.247
0.5216	25.538
0.94289	33.166
1.5447	46.101
1.9059	53.73
2.2068	60.362
2.628	69.317
3.0693	78.605
3.571	86.896
3.8919	93.862
4.1727	97.843
4.3332	98.506
4.3934	97.509
4.3533	91.869
4.1327	80.264
3.8317	68.325
3.5911	59.037
3.2098	48.423
2.9089	38.473
2.628	28.855
2.2068	17.578
1.7052	6.6332
1.1836	-2.985
0.82252	-9.2866
0.54166	-13.598
-0.080245	-21.226
-0.54166	-28.191
