"Saatcioglu, 1999, Specimen RC-7"	
3294	
38.45	23.03430999
38.08	22.25947876
36.96	21.71349248
34.52	17.76182594
27.01	9.968249449
21.82	4.74837135
20.67	2.407753267
19.05	0.857388771
16.14	-1.364418532
15.93	-2.185581769
13.98	-3.164965601
13.6	-5.081360517
11.21	-6.576069306
10.07	-8.465268847
9.57	-9.189480596
6.75	-13.22804877
4.61	-15.51569811
3.84	-17.13999442
2.34	-18.67265163
1.72	-19.21468386
0.92	-19.67343544
0.65	-21.09351416
-0.63	-22.18351705
-1.13	-22.97773688
-2.61	-24.60742684
-2.71	-25.3122707
-3.92	-26.29188056
-4.35	-27.76570843
-5.64	-29.43719029
-6.88	-30.79124739
-7.34	-31.78952576
-9.29	-33.24896047
-11.51	-36.64845609
-13.39	-38.78747359
-14.01	-39.4294866
-15.87	-40.84551441
-16.56	-42.18790722
-18.2	-43.63126475
-19.82	-45.15163829
-21.37	-46.45160888
-22.4	-47.11441854
-23.38	-47.81980281
-24.61	-48.72226414
-25.24	-50.05571511
-27.05	-50.25418211
-27.71	-52.00206881
-29.24	-52.91897214
-31.08	-53.19181862
